kind,title,authors,summary,news_site,published_at,url,captured_at
article,NASA Celebrates Decade of University Innovation in Aeronautics,NASA,"For 10 years, a NASA initiative has helped the agency produce breakthrough aeronautical innovations while fostering the aviation workforce of tomorrow – and the University Leadership Initiative (ULI) is still flying high",NASA,2026-04-24T13:04:54,https://www.nasa.gov/aeronautics/university-innovation-uli-at-10/,2026-04-27T23:12:05Z
article,2026 first quarter: Future Launchers Preparatory Programme highlights,ESA,From the ESA Blogs.,ESA,2026-04-24T11:37:00,https://www.esa.int/Enabling_Support/Space_Transportation/Future_space_transportation/2026_first_quarter_Future_Launchers_Preparatory_Programme_highlights,2026-04-27T23:12:05Z
article,Rocket Report: Some Canadians don't want a spaceport; Falcon hits 600 landings,Eric Berger,"""If it doesn’t rely on a solid, there’s no reason why we can’t launch.""",Arstechnica,2026-04-24T11:00:36,https://arstechnica.com/space/2026/04/rocket-report-some-canadians-dont-want-a-spaceport-falcon-hits-600-landings/,2026-04-27T23:12:05Z
article,Braving the Arctic for upcoming polar-focused satellites,ESA,"As sea ice continues to succumb to the climate crisis, measuring its decline with precision has never been more urgent. To meet this challenge, the European Space Agency is developing three new Copernicus satellites, eac",ESA,2026-04-24T09:08:00,https://www.esa.int/Applications/Observing_the_Earth/FutureEO/Braving_the_Arctic_for_upcoming_polar-focused_satellites,2026-04-27T23:12:05Z
article,Earth from Space: Cloud patterns over the Canary Islands,ESA,From the ESA Blogs.,ESA,2026-04-24T08:00:00,https://www.esa.int/ESA_Multimedia/Images/2026/04/Earth_from_Space_Cloud_patterns_over_the_Canary_Islands,2026-04-27T23:12:05Z
article,An Agricultural Mosaic in Taiwan,NASA,Diversity reigns across the farmland of Yunlin County in southwestern Taiwan—a region that produces an array of crops on small farms.,NASA,2026-04-24T04:01:00,https://science.nasa.gov/earth/human-dimensions/agriculture/an-agricultural-mosaic-in-taiwan/,2026-04-27T23:12:05Z
article,Johnson Leaders Honored by National Space Club & Foundation,NASA,"The National Space Club & Foundation announced its annual award recipients March 13, 2026, in Washington, D.C.   Two dedicated leaders from NASA’s Johnson Space Center were recognized for their contributions to human spa",NASA,2026-04-23T23:24:14,https://www.nasa.gov/centers-and-facilities/johnson/johnson-leaders-honored-by-national-space-club-foundation/,2026-04-27T23:12:05Z
article,NASA Shares SpaceX Crew-13 Assignments for Space Station Mission,NASA,"As part of NASA’s SpaceX Crew-13 mission, four crew members from three space agencies will launch no earlier than mid-September to the International Space Station for a long-duration science expedition. NASA astronauts J",NASA,2026-04-23T21:15:32,https://www.nasa.gov/news-release/nasa-shares-spacex-crew-13-assignments-for-space-station-mission/,2026-04-27T23:12:05Z
article,NASA Kennedy Prepares Facility for Roman Space Telescope Arrival,NASA,Preparations are underway for launch of NASA’s Nancy Grace Roman Space Telescope as soon as early September on a SpaceX Falcon Heavy rocket from Launch Complex 39A at NASA’s Kennedy Space Center in Florida. The Roman spa,NASA,2026-04-23T20:14:56,https://www.nasa.gov/centers-and-facilities/kennedy/nasa-kennedy-prepares-facility-for-roman-space-telescope-arrival/,2026-04-27T23:12:05Z
article,Latvia and Jordan Join Artemis Accords,Marcia Smith,"Latvia and Jordan joined the Artemis Accords this week, bringing to 63 the number of countries that have adopted the U.S.-led set of principles for responsible behavior on the surface […]",SpacePolicyOnline.com,2026-04-23T20:00:08,https://spacepolicyonline.com/news/latvia-and-jordan-join-artemis-accords/,2026-04-27T23:12:05Z
article,Starship Progress at the Cape with Hoping to Launch this year,Ryan Weber,"As the first flight of Block 3 approaches, SpaceX continues to make progress on the…
The post Starship Progress at the Cape with Hoping to Launch this year appeared first on NASASpaceFlight.com.",NASASpaceflight,2026-04-23T17:39:48,https://www.nasaspaceflight.com/2026/04/starship-progress-cape-launch-this-year/,2026-04-27T23:12:05Z
article,NASA Welcomes Jordan as 63rd Artemis Accords Signatory,NASA,"The Hashemite Kingdom of Jordan signed the Artemis Accords Thursday during a ceremony hosted by NASA at the agency’s headquarters in Washington, becoming the latest nation to commit to responsible space exploration to be",NASA,2026-04-23T17:32:34,https://www.nasa.gov/organizations/oiir/nasa-welcomes-jordan-as-63rd-artemis-accords-signatory/,2026-04-27T23:12:05Z
article,Liquid Lifeline: NASA Tech Could Create IV Fluid In Space,NASA,"On every crewed mission, NASA packs pouches of a potentially life-saving liquid in its cargo, known as IV (or intravenous) fluid. A simple mix of sodium chloride and purified water, it can treat up to 30% of medical cond",NASA,2026-04-23T16:30:00,https://www.nasa.gov/general/iv-fluid-in-space/,2026-04-27T23:12:05Z
blog,Biotech Research on Station Informing Advanced Cancer and Heart Treatments,NASA,"Biotechnology research was back on the schedule aboard the International Space Station on Thursday as the Expedition 74 crew conducted a pair of heart studies, explored cancer therapies, and demonstrated a self‑sustainin",NASA,2026-04-23T16:25:40,https://www.nasa.gov/blogs/spacestation/2026/04/23/biotech-research-on-station-informing-advanced-cancer-and-heart-treatments/,2026-04-27T23:12:05Z
article,NASA Releases Powerful LAVA Software to US Aerospace Industry,NASA,"For years, NASA engineers have turned to a tool called the Launch, Ascent, and Vehicle Aerodynamics (LAVA) framework to solve airflow challenges that could mean the difference between mission success or failure. When eng",NASA,2026-04-23T16:07:30,https://www.nasa.gov/aeronautics/nasa-releases-powerful-lava-software-to-us-aerospace-industry/,2026-04-27T23:12:05Z
article,NASA’s Chandra Finds Young Stars Dim Quickly,NASA,"These images, released on April 14, 2026, show two open star clusters, Trumpler 3 (left) and NGC 2353 (right). They represent a recent study from NASA’s Chandra X-ray Observatory that shows how young Sun-like stars are d",NASA,2026-04-23T15:01:38,https://www.nasa.gov/image-article/nasas-chandra-finds-young-stars-dim-quickly/,2026-04-27T23:12:05Z
article,Smile set to launch on 19 May,ESA,"The European-Chinese Smile mission is due to launch on Tuesday 19 May 2026, at 05:52 CEST / 04:52 BST / 00:52 local time on a European Vega-C rocket.",ESA,2026-04-23T14:43:00,https://www.esa.int/Science_Exploration/Space_Science/Smile/Smile_set_to_launch_on_19_May,2026-04-27T23:12:05Z
article,A new grip on space: electrostatic capture technology,ESA,From the ESA Blogs.,ESA,2026-04-23T12:50:00,https://www.esa.int/ESA_Multimedia/Images/2026/04/A_new_grip_on_space_electrostatic_capture_technology,2026-04-27T23:12:05Z
article,A Saturday‑night dinner onboard the International Space Station,ESA,After an intense few weeks the crew took time to celebrate together with a shared meal proposed by ESA astronaut Sophie Adenot.,ESA,2026-04-23T11:56:00,https://www.esa.int/ESA_Multimedia/Videos/2026/04/A_Saturday_night_dinner_onboard_the_International_Space_Station,2026-04-27T23:12:05Z
article,Everyday operations in orbit: toilet maintenance,ESA,"In this timelapse, ESA astronaut Sophie Adenot performs routine maintenance on the Waste and Hygiene Compartment, or WHC – the ISS toilet system. She is replacing the full solid-waste container in which solid waste is va",ESA,2026-04-23T11:51:00,https://www.esa.int/ESA_Multimedia/Videos/2026/04/Everyday_operations_in_orbit_toilet_maintenance,2026-04-27T23:12:05Z
blog,"DNA Research on Station Promoting Cancer Therapies, Radiation Repair",NASA,More biotechnology research was underway aboard the International Space Station on Wednesday taking advantage of the microgravity environment to boost knowledge about the properties of DNA and DNA-like nanomaterials. The,NASA,2026-04-22T16:24:43,https://www.nasa.gov/blogs/spacestation/2026/04/22/dna-research-on-station-promoting-cancer-therapies-radiation-repair/,2026-04-27T23:12:05Z
blog,Crew Studies Biotech on Tuesday to Advance Health and Space Economy,NASA,"Biotechnology research seeking to advance human health and the space economy packed the science schedule aboard the International Space Station on Tuesday. The Expedition 74 crew members also explored space physics, upda",NASA,2026-04-21T20:18:47,https://www.nasa.gov/blogs/spacestation/2026/04/21/crew-studies-biotech-on-tuesday-to-advance-health-and-space-economy/,2026-04-27T23:12:05Z
blog,Roscosmos Progress 93 Cargo Spacecraft Departs Station,NASA,"The unpiloted Roscosmos Progress 93 spacecraft undocked from the International Space Station at 6:08 p.m. EDT Monday, backing away for a deorbit maneuver and a planned destructive re-entry into Earth’s atmosphere to disp",NASA,2026-04-20T22:15:59,https://www.nasa.gov/blogs/spacestation/2026/04/20/roscosmos-progress-93-cargo-spacecraft-departs-station/,2026-04-27T23:12:05Z
blog,Space Health Research Fills Day Before Cargo Craft Departs,NASA,The trash-packed Progress 93 cargo spacecraft from Roscosmos will depart the International Space Station later today completing a seven-month mission docked to the Zvezda service module’s aft port.,NASA,2026-04-20T16:36:05,https://www.nasa.gov/blogs/spacestation/2026/04/20/space-health-research-fills-day-before-cargo-craft-departs/,2026-04-27T23:12:05Z
blog,Plants and Worms Informing Future Missions; Crew Preps for Computer Upgrades,NASA,"Advanced botany and biology research to sustain crews on future missions to the Moon, Mars, and beyond wrapped up the week aboard the International Space Station. The Expedition 74 crew also continued unpacking a U.S. ca",NASA,2026-04-17T16:08:32,https://www.nasa.gov/blogs/spacestation/2026/04/17/plants-and-worms-informing-future-missions-crew-preps-for-computer-upgrades/,2026-04-27T23:12:05Z
report,Starliner arrives safely back on Earth,,"Boeing’s Starliner landed safely at 12:01 a.m. Eastern time on Saturday, Sept. 7 (1o:01 p.m. Mountain time, on Friday, Sept. 6).  After an extended stay at the International Space Station, Starliner’s reusable crew modul",Boeing,2024-09-07T04:14:32,https://starlinerupdates.com/starliner-arrives-safely-back-on-earth/,2026-04-27T23:12:05Z
report,Starliner heads back to Earth,,"Boeing’s Starliner spacecraft undocked from the International Space Station on Friday, Sept. 6, with separation confirmed at 6:04 p.m. Eastern time. The reusable crew module is expected to land at 12:01 a.m. Eastern time",Boeing,2024-09-06T22:05:02,https://starlinerupdates.com/starliner-heads-back-to-earth/,2026-04-27T23:12:05Z
report,Boeing’s confidence remains high in Starliner’s return with crew,,"Since Starliner’s Crew Flight Test (CFT) launch on June 5, Boeing and NASA have conducted extensive testing of its propulsion system in space and on the ground. Those tests include: 7 ground tests of a Reaction Control S",Boeing,2024-08-02T23:32:46,https://starlinerupdates.com/boeings-confidence-remains-high-in-starliners-return-with-crew/,2026-04-27T23:12:05Z
report,Starliner Return to Earth Preps Underway,,"Practiced, prepared, checked out, refilled, and inspected – the Starliner team is proceeding through checklists to be ready for return when a date is chosen. They spent Tuesday practicing for undocking during an integrat",Boeing,2024-07-31T21:41:37,https://starlinerupdates.com/starliner-return-to-earth-preps-underway/,2026-04-27T23:12:05Z
report,Starliner Docked Hot Fire Testing Complete,,Spacecraft thrusters tested and helium system checked in second successful docked hot fire test. The Starliner team completed a docked hot fire test of the spacecraft’s Reaction Control System (RCS) thrusters Saturday af,Boeing,2024-07-27T20:50:47,https://starlinerupdates.com/starliner-docked-hot-fire-testing-complete/,2026-04-27T23:12:05Z
report,ISS Daily Summary Report – 7/26/2024,,Boeing CST-100 Crewed Flight Test (CFT): The CFT crew continued assisting the ISS crew with various audits and housekeeping.  They also performed CloudNet Testing and STEMonstration Earth Science activities. Payloads: Sl,NASA,2024-07-26T19:21:00,https://blogs.nasa.gov/stationreport/2024/07/26/iss-daily-summary-report-7-26-2024/,2026-04-27T23:12:05Z
report,ISS Daily Summary Report – 7/25/2024,,"Boeing CST-100 Crewed Flight Test (CFT): Today, the CFT crew performed checkouts and measurements in preparation for a future potential CFT undock. They also assisted the ISS crew in NanoRacks Airlock (NRAL) restow opera",NASA,2024-07-25T19:21:00,https://blogs.nasa.gov/stationreport/2024/07/25/iss-daily-summary-report-7-25-2024/,2026-04-27T23:12:05Z
report,"Starliner team closes in on thruster issue root cause, prepares for return to Earth",,"Thruster testing and inspections on the ground lead to meaningful findings prior to Starliner’s return. With ground testing of a Reaction Control System (RCS) thruster complete and disassembly and inspections concluding,",Boeing,2024-07-25T19:18:32,https://starlinerupdates.com/starliner-team-closes-in-on-thruster-issue-root-cause-prepares-for-return-to-earth/,2026-04-27T23:12:05Z
report,ISS Daily Summary Report – 7/24/2024,,"Boeing CST-100 Crewed Flight Test (CFT): Today, the CFT crew assisted the ISS crew by installing the ArgUS 1-1 Multi Payload Platform in the NanoRacks Airlock (NRAL).  They also assisted the ISS crew in the Butterfly iQ ",NASA,2024-07-24T19:21:00,https://blogs.nasa.gov/stationreport/2024/07/24/iss-daily-summary-report-7-24-2024/,2026-04-27T23:12:05Z
report,ISS Daily Summary Report – 7/23/2024,,Boeing CST-100 Crewed Flight Test (CFT): The CFT crew assisted the ISS crew by performing payload activities. They completed the ArgUS 1-1 sub-payloads installation and several Thor-Davis sessions. Payloads: ArgUS 1-1: T,NASA,2024-07-23T15:57:00,https://blogs.nasa.gov/stationreport/2024/07/23/iss-daily-summary-report-7-23-2024/,2026-04-27T23:12:05Z
