source,tier,ticker_explicit,published_utc,recency_min,news_score,sector_tags,event_tags,ticker_candidates,headline,link
businesswire,1,1,2026-04-27T20:05:00+00:00,176.2,10.749,semis_ai,,AIRG,"Airgain Sets First Quarter 2026 Conference Call for Wednesday, May 6, at 5:00 p.m. ET",http://www.businesswire.com/news/home/20260427289906/en/Airgain-Sets-First-Quarter-2026-Conference-Call-for-Wednesday-May-6-at-500-p.m.-ET/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T20:01:00+00:00,180.2,10.685,semis_ai,,TV,Samenvatting: IAS lanceert IAS Total TV Solutions en biedt marketeers 'ineaire' transparantie voor Connected TV,http://www.businesswire.com/news/home/20260427021143/nl/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T19:59:00+00:00,182.2,10.652,semis_ai,,TV,"Riassunto: IAS presenta IAS Total TV Solutions, per fornire ai marketer la stessa trasparenza 'della TV lineare' anche nel settore della Connected TV",http://www.businesswire.com/news/home/20260427795403/it/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
globenewswire,1,1,2026-04-27T22:05:00+00:00,56.2,10.587,,,GSL,Global Ship Lease Announces Annual Meeting of Shareholders,https://www.globenewswire.com/news-release/2026/04/27/3282128/0/en/Global-Ship-Lease-Announces-Annual-Meeting-of-Shareholders.html
eia_today,2,0,2026-04-15T20:00:00+00:00,17461.2,10.000,defense;energy;semis_ai;financials,conflict_risk;policy_macro,EPA;RVP,What's in your gasoline? Understanding U.S. motor gasoline formulations,https://www.eia.gov/todayinenergy/detail.php?id=67464
globenewswire,1,1,2026-04-27T21:11:00+00:00,110.2,9.433,,,LIFE,Traction Uranium Announces Closing of LIFE Offering,https://www.globenewswire.com/news-release/2026/04/27/3282094/0/en/Traction-Uranium-Announces-Closing-of-LIFE-Offering.html
marketwatch_top,2,0,2026-04-27T22:30:00+00:00,31.2,9.322,,,,‘We believe it’s real’: My mom received a check from a class-action lawsuit. It bounced. Could this be a scam?,https://www.marketwatch.com/story/we-believe-its-real-my-mom-received-a-check-from-a-class-action-lawsuit-it-bounced-could-this-be-a-scam-cffa7bdb?mod=mw_rss_topstories
globenewswire,1,1,2026-04-27T21:03:00+00:00,118.2,9.277,,,BRO,"Brown & Brown, Inc. announces first quarter 2026 results, including total revenues of $1.9 billion, an increase of 35.4%; flat Organic Revenue; growth of Organic Revenue with Contingents of 2.2%; diluted net income per share of $1.06; Dilut",https://www.globenewswire.com/news-release/2026/04/27/3282088/0/en/Brown-Brown-Inc-announces-first-quarter-2026-results-including-total-revenues-of-1-9-billion-an-increase-of-35-4-flat-Organic-Revenue-growth-of-Organic-Revenue-with-Contingents-of-.html
businesswire,1,1,2026-04-27T21:00:00+00:00,121.2,9.220,,,USD,Paystand Launches USDb: The First Bitcoin-Aligned Stablecoin Purpose-Built for the $100 Trillion B2B Economy,http://www.businesswire.com/news/home/20260427826030/en/Paystand-Launches-USDb-The-First-Bitcoin-Aligned-Stablecoin-Purpose-Built-for-the-100-Trillion-B2B-Economy/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,8.934,energy;semis_ai;transport,,,Agency Information Collection Activities; Renewal of a Previously Approved Information Collection: Barrier Failure Reporting in Oil and Gas Operations on the Outer Continental Shel,https://www.federalregister.gov/documents/2026/04/27/2026-08116/agency-information-collection-activities-renewal-of-a-previously-approved-information-collection
businesswire,1,1,2026-04-27T12:00:00+00:00,661.2,8.827,semis_ai;transport,,IONQ,IonQ and Florida LambdaRail Launch First Statewide Quantum-Safe Network Initiative in United States,http://www.businesswire.com/news/home/20260427590862/en/IonQ-and-Florida-LambdaRail-Launch-First-Statewide-Quantum-Safe-Network-Initiative-in-United-States/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
marketwatch_top,2,0,2026-04-27T22:01:00+00:00,60.2,8.746,,,IRA,‘I hope to retire early’: I’m 56 and have 80% in a traditional IRA and 20% in a Roth. Am I in trouble?,https://www.marketwatch.com/story/i-hope-to-retire-early-im-56-and-have-80-in-a-traditional-ira-and-20-in-a-roth-am-i-in-trouble-8ec58195?mod=mw_rss_topstories
businesswire,1,1,2026-04-27T20:15:00+00:00,166.2,8.415,,,CACI,"CACI Achieves Amazon Web Services Managed Service Provider Status for its Secure, Compliant Hybrid Cloud Solutions",http://www.businesswire.com/news/home/20260427094105/en/CACI-Achieves-Amazon-Web-Services-Managed-Service-Provider-Status-for-its-Secure-Compliant-Hybrid-Cloud-Solutions/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T20:12:00+00:00,169.2,8.364,,,TV,IAS startet IAS Total TV Solutions: Connected-TV-Transparenz wie im linearen Fernsehen,http://www.businesswire.com/news/home/20260427897929/de/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
marketwatch_top,2,0,2026-04-27T21:35:00+00:00,86.2,8.270,,,,"Bed Bath & Beyond is seeing new life, as rare sales growth lifts stock more than 30%",https://www.marketwatch.com/story/bed-bath-beyond-is-seeing-new-life-as-rare-sales-growth-lifts-stock-more-than-30-3e1ee945?mod=mw_rss_topstories
eia_today,2,0,2026-04-20T14:00:00+00:00,10621.2,8.003,energy;semis_ai,supply_chain;policy_macro,OECD,"China, the United States, and Japan hold most strategic oil inventories in 2025",https://www.eia.gov/todayinenergy/detail.php?id=67504
eia_today,2,0,2026-04-06T14:00:00+00:00,30781.2,8.000,energy;semis_ai;transport,policy_macro,UAE,The Middle East Gulf was source for 8% of 2025 U.S. crude oil imports,https://www.eia.gov/todayinenergy/detail.php?id=67407
marketwatch_top,2,0,2026-04-27T21:15:00+00:00,106.2,7.927,,,,A possible SiriusXM-iHeartMedia merger would be the latest ominous sign for radio,https://www.marketwatch.com/story/a-possible-siriusxm-iheartmedia-merger-would-be-the-latest-ominous-sign-for-radio-23a18d07?mod=mw_rss_topstories
marketwatch_top,2,0,2026-04-27T21:08:00+00:00,113.2,7.812,,,CEO,Verizon’s stock rises as the company posts surprise subscriber growth under new CEO,https://www.marketwatch.com/story/verizons-stock-rises-as-the-company-posts-surprise-subscriber-growth-under-new-ceo-2752e52d?mod=mw_rss_topstories
marketwatch_top,2,0,2026-04-27T21:05:00+00:00,116.2,7.763,,,TV,Trump calls for Jimmy Kimmel to be fired over Melania comments. It’s the latest clash over late-night TV.,https://www.marketwatch.com/story/trump-calls-for-jimmy-kimmel-to-be-fired-over-melania-comments-its-the-latest-clash-over-late-night-tv-fbfc53d4?mod=mw_rss_topstories
yahoo_finance,2,0,2026-04-27T17:43:32+00:00,317.6,7.289,transport,,,Analyst Report: Digital Realty Trust Inc,https://finance.yahoo.com/research/reports/ARGUS_4555_AnalystReport_1777311812000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
yahoo_finance,2,0,2026-04-27T17:43:32+00:00,317.6,7.289,transport,,,Analyst Report: Chubb Ltd,https://finance.yahoo.com/research/reports/ARGUS_2809_AnalystReport_1777311812000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
yahoo_finance,2,0,2026-04-27T17:43:32+00:00,317.6,7.289,transport,,RTX,Analyst Report: RTX Corp,https://finance.yahoo.com/research/reports/ARGUS_3487_AnalystReport_1777311812000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
yahoo_finance,2,0,2026-04-27T11:20:48+00:00,700.4,7.040,semis_ai,company_catalyst,,Daily Spotlight: Market Calmer as Earnings Take Center Stage,https://finance.yahoo.com/research/reports/ARGUS_46853_MarketOutlook_1777288848000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
yahoo_finance,2,0,2026-04-26T14:25:00+00:00,1956.2,7.037,defense;semis_ai,conflict_risk,AI,Prediction: The Artificial Intelligence (AI) Supercycle Will Survive the Iran War. But the Supply Chain That Feeds It Just Changed Forever.,https://finance.yahoo.com/sectors/technology/articles/prediction-artificial-intelligence-ai-supercycle-142500082.html
businesswire,1,1,2026-04-27T12:45:00+00:00,616.2,6.552,semis_ai,,DVLT,Datavault AI Announces Execution of Binding Term Sheet for $120 Million Cash Contribution From Scilex Holding Company to Fund 100-City GPU Expansion of Quantum-Ready SanQtum Platform,http://www.businesswire.com/news/home/20260427795176/en/Datavault-AI-Announces-Execution-of-Binding-Term-Sheet-for-120-Million-Cash-Contribution-From-Scilex-Holding-Company-to-Fund-100-City-GPU-Expansion-of-Quantum-Ready-SanQtum-Platform/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,energy;semis_ai,,,"Transcontinental Gas Pipe Line Company, LLC; Notice of Availability of the Environmental Assessment for the Proposed North Padre Island Lateral Abandonment Project",https://www.federalregister.gov/documents/2026/04/27/2026-08170/transcontinental-gas-pipe-line-company-llc-notice-of-availability-of-the-environmental-assessment
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,Agency Information Collection Activity: VA Loan Electronic Reporting Interface (VALERI) System and Title Requirements for Conveyance of Real Property to the Secretary,https://www.federalregister.gov/documents/2026/04/27/2026-08166/agency-information-collection-activity-va-loan-electronic-reporting-interface-valeri-system-and
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,"Operating Limitations at Chicago O'Hare International Airport, Order Establishing Scheduling Limits",https://www.federalregister.gov/documents/2026/04/27/2026-08163/operating-limitations-at-chicago-ohare-international-airport-order-establishing-scheduling-limits
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,Agency Information Collection Activities: Proposed Collection; Comment Request,https://www.federalregister.gov/documents/2026/04/27/2026-08160/agency-information-collection-activities-proposed-collection-comment-request
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,Agency Information Collection Activities: Submission for OMB Review; Comment Request,https://www.federalregister.gov/documents/2026/04/27/2026-08156/agency-information-collection-activities-submission-for-omb-review-comment-request
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,Airworthiness Directives; The Boeing Company Airplanes,https://www.federalregister.gov/documents/2026/04/27/2026-08154/airworthiness-directives-the-boeing-company-airplanes
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,financials;semis_ai,policy_macro,,"Streamlining Regulations Concerning Public Welfare Investments, Open Market Collateralized Loan Obligations, and Federal Savings Association Nondiscrimination Requirements",https://www.federalregister.gov/documents/2026/04/27/2026-08143/streamlining-regulations-concerning-public-welfare-investments-open-market-collateralized-loan
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,semis_ai;transport,,,Certain Chassis and Subassemblies Thereof From the People's Republic of China: Final Determination of Covered Merchandise Inquiry,https://www.federalregister.gov/documents/2026/04/27/2026-08130/certain-chassis-and-subassemblies-thereof-from-the-peoples-republic-of-china-final-determination-of
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,energy;semis_ai,,,Oil Country Tubular Goods From the People's Republic of China: Final Determination of Covered Merchandise Inquiry,https://www.federalregister.gov/documents/2026/04/27/2026-08129/oil-country-tubular-goods-from-the-peoples-republic-of-china-final-determination-of-covered
federal_register,1,0,2026-04-27T00:00:00+00:00,1381.2,6.434,biotech;financials,company_catalyst;policy_macro,,Maryland State Plan; Level of Federal Enforcement: Private Sector Employment on Federal Properties,https://www.federalregister.gov/documents/2026/04/27/2026-08105/maryland-state-plan-level-of-federal-enforcement-private-sector-employment-on-federal-properties
businesswire,1,1,2026-04-27T12:10:00+00:00,651.2,6.375,,policy_macro,ZBRA,Zebra Technologies Celebrates 10 Year Anniversary of PartnerConnect Program,http://www.businesswire.com/news/home/20260427278311/en/Zebra-Technologies-Celebrates-10-Year-Anniversary-of-PartnerConnect-Program/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T12:00:00+00:00,661.2,6.327,,policy_macro,SOC,"Stellar Cyber Appoints Mayuresh Ektare, Former Qualys Product Executive, to Accelerate SOC Transformation",http://www.businesswire.com/news/home/20260427712680/en/Stellar-Cyber-Appoints-Mayuresh-Ektare-Former-Qualys-Product-Executive-to-Accelerate-SOC-Transformation/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T11:30:00+00:00,691.2,6.189,semis_ai,,SHAZ,Sharon AI Enters Into Definitive Agreements for US$350 Million Convertible Note Offering to Expand GPU and Network Procurement,http://www.businesswire.com/news/home/20260427995709/en/Sharon-AI-Enters-Into-Definitive-Agreements-for-US350-Million-Convertible-Note-Offering-to-Expand-GPU-and-Network-Procurement/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
eia_today,2,0,2026-04-23T14:00:00+00:00,6301.2,6.050,energy;semis_ai;transport,,LNG,"The 10th U.S. liquefied natural gas export terminal, Golden Pass, ships first cargo",https://www.eia.gov/todayinenergy/detail.php?id=67564
eia_today,2,0,2026-04-16T14:00:00+00:00,16381.2,6.000,energy;semis_ai;transport,,LNG;STEO,U.S. natural gas exports to grow nearly 30% by 2027 as LNG facilities ramp up,https://www.eia.gov/todayinenergy/detail.php?id=67484
eia_today,2,0,2026-04-14T20:00:00+00:00,18901.2,6.000,agriculture;semis_ai,weather_shock,STEO,Hydropower generation expected to recover despite snow drought in the West,https://www.eia.gov/todayinenergy/detail.php?id=67444
eia_today,2,0,2026-04-07T14:00:00+00:00,29341.2,6.000,defense;energy;semis_ai,,,Crude oil and petroleum product prices increased sharply in the first quarter of 2026,https://www.eia.gov/todayinenergy/detail.php?id=67424
eia_today,2,0,2026-04-02T14:00:00+00:00,36541.2,6.000,energy;semis_ai;transport,,MW;PREB,Rooftop solar photovoltaic systems account for 20% of Puerto Rico's capacity mix,https://www.eia.gov/todayinenergy/detail.php?id=67406
eia_today,2,0,2026-03-31T14:00:00+00:00,39421.2,6.000,energy;financials,policy_macro,GOA;STEO,"U.S. crude oil production rose in 2025, setting new record",https://www.eia.gov/todayinenergy/detail.php?id=67404
eia_today,2,0,2026-03-26T14:00:00+00:00,46621.2,6.000,energy;semis_ai,policy_macro,,Middle East crude oil tanker rates reached a multi-decade high in March,https://www.eia.gov/todayinenergy/detail.php?id=67386
eia_today,2,0,2026-03-19T14:00:00+00:00,56701.2,6.000,energy;semis_ai;transport,,LNG,U.S. exports of LNG to the Caribbean near record highs in 2025,https://www.eia.gov/todayinenergy/detail.php?id=67366
eia_today,2,0,2026-03-17T14:00:00+00:00,59581.2,6.000,defense;energy,conflict_risk,EIA;STEO,EIA refines estimates for Permian tight oil and shale gas production,https://www.eia.gov/todayinenergy/detail.php?id=67364
eia_today,2,0,2026-03-16T14:00:00+00:00,61021.2,6.000,semis_ai;transport,policy_macro,EIA,The cost of transporting coal to the U.S. electric power sector fell again in 2024,https://www.eia.gov/todayinenergy/detail.php?id=67346
eia_today,2,0,2026-03-03T14:00:00+00:00,79741.2,6.000,energy;transport,company_catalyst,DOE;LNG;SPA,U.S. LNG developers sign highest volume of sale and purchase contracts since 2022,https://www.eia.gov/todayinenergy/detail.php?id=67264
businesswire,1,1,2026-04-27T09:07:00+00:00,834.2,5.636,,policy_macro,SAP,SAP und S3NS beschleunigen zuverlässige Cloud-Akzeptanz - mit Thales als erstem strategischen Kunden,http://www.businesswire.com/news/home/20260426516337/de/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
businesswire,1,1,2026-04-27T07:11:00+00:00,950.2,5.285,,policy_macro,JLL,JLL Standardises on SwiftConnect's Connected Access Network for Mobile Access Across Corporate Offices and Managed Assets,http://www.businesswire.com/news/home/20260427843227/en/JLL-Standardises-on-SwiftConnects-Connected-Access-Network-for-Mobile-Access-Across-Corporate-Offices-and-Managed-Assets/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
yahoo_finance,2,0,2026-04-27T17:28:32+00:00,332.6,5.155,,,CB;DLR;KDP;RTX,"Market Update: CB, RTX, KDP, DLR",https://finance.yahoo.com/research/reports/ARGUS_46859_MarketUpdate_1777310912000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei
businesswire,1,1,2026-04-27T06:00:00+00:00,1021.2,5.101,,policy_macro,SAP,SAP and S3NS Accelerate Trusted Cloud Adoption in France With Thales as First Strategic Customer,http://www.businesswire.com/news/home/20260426644177/en/SAP-and-S3NS-Accelerate-Trusted-Cloud-Adoption-in-France-With-Thales-as-First-Strategic-Customer/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
yahoo_finance,2,0,2026-04-26T14:30:00+00:00,1951.2,5.041,energy;semis_ai,,,"‘You gotta do it’: Charlie Munger said once you reach this money milestone, you can ‘ease off the gas a bit’",https://finance.yahoo.com/markets/stocks/articles/gotta-charlie-munger-said-once-143000965.html
yahoo_finance,2,0,2026-04-26T14:30:00+00:00,1951.2,5.041,semis_ai;financials,,,Does Insurers Investment in Private Credit Raise Concerns for Advisors?,https://finance.yahoo.com/economy/policy/articles/does-insurers-investment-private-credit-143000773.html
bloomberg,1,1,2026-03-04T08:40:00+00:00,78621.2,5.000,energy,policy_macro,LNG,Example headline from Bloomberg,https://example.com
eia_today,2,0,2026-04-24T14:00:00+00:00,4861.2,4.137,energy,company_catalyst,,Brent crude oil spot prices surge past futures price in April,https://www.eia.gov/todayinenergy/detail.php?id=67544
eia_today,2,0,2026-04-21T14:00:00+00:00,9181.2,4.007,energy;transport,,,Natural gas inventories at the end of winter heating season were near five-year average,https://www.eia.gov/todayinenergy/detail.php?id=67524
eia_today,2,0,2026-03-30T14:00:00+00:00,40861.2,4.000,energy;transport,,NGL,Natural gas liquids exports reached record highs in 2025,https://www.eia.gov/todayinenergy/detail.php?id=67387
eia_today,2,0,2026-03-10T14:00:00+00:00,69661.2,4.000,energy;transport,,,Annual U.S. crude oil exports decrease for first time since 2021,https://www.eia.gov/todayinenergy/detail.php?id=67324
eia_today,2,0,2026-03-09T14:00:00+00:00,71101.2,4.000,energy;transport,,,U.S. exports of major transportation fuels in 2025 were about the same as in 2024,https://www.eia.gov/todayinenergy/detail.php?id=67304
eia_today,2,0,2026-03-05T14:00:00+00:00,76861.2,4.000,semis_ai,policy_macro,,"U.S. electricity generation in 2025 hit a record, again",https://www.eia.gov/todayinenergy/detail.php?id=67284
