published,title,tagline,category,author,link,captured_at
2026-04-23T02:24:16-07:00,GitBar,"Every pull request, one menubar. GitHub, GitLab & Azure",devtool,Thomas Lamars,https://www.producthunt.com/products/gitbar-3,2026-04-27T22:50:00Z
2026-04-23T01:50:38-07:00,Your Name in Landsat 🛰️,The planet can spell your name – literally!,,Adithya Shreshti,https://www.producthunt.com/products/your-name-in-landsat,2026-04-27T22:50:00Z
2026-04-23T01:07:22-07:00,Onboarding0,Turn company knowledge into AI-guided onboarding,devtool,Leon Arnovitz,https://www.producthunt.com/products/onboarding0,2026-04-27T22:50:00Z
2026-04-22T12:42:56-07:00,Google Workspace Intelligence,AI that understands and powers your Workspace,"ai,saas_prod",Ankit Sharma,https://www.producthunt.com/products/google,2026-04-27T22:50:00Z
2026-04-21T11:52:34-07:00,Inrō AI,Your AI Agent for Instagram Marketing,"ai,marketing",kshitij,https://www.producthunt.com/products/inro,2026-04-27T22:50:00Z
2026-04-21T10:45:22-07:00,Yutori Delegate,Why cowork when you can delegate?,,Chris Messina,https://www.producthunt.com/products/scouts-by-yutori,2026-04-27T22:50:00Z
2026-04-21T09:08:15-07:00,Euphony,Render AI chat data and Codex logs into browsable views,ai,Rohan Chaubey,https://www.producthunt.com/products/euphony-2,2026-04-27T22:50:00Z
2026-04-21T06:18:41-07:00,Clawdi,Best home for all AI agents,ai,Justin Jincaid,https://www.producthunt.com/products/clawdi,2026-04-27T22:50:00Z
2026-04-20T07:31:44-07:00,Logic,Build and operate fleets of agents,ai,Ben Lang,https://www.producthunt.com/products/logic-ship-an-agent,2026-04-27T22:50:00Z
2026-04-18T04:14:13-07:00,PromptPaste,"Your private AI prompt library on Mac, iPhone, and iPad",ai,Ivan Terehin,https://www.producthunt.com/products/promptpaste,2026-04-27T22:50:00Z
2026-04-16T09:33:11-07:00,Gemini Personal Intelligence,Gemini answers with context from your Google apps,,Rohan Chaubey,https://www.producthunt.com/products/gemini-personal-intelligence,2026-04-27T22:50:00Z
2026-04-15T23:52:37-07:00,Happenstance,Search your network with AI,,Rohan Chaubey,https://www.producthunt.com/products/happenstance-2,2026-04-27T22:50:00Z
2026-04-14T12:31:47-07:00,BAND,Coordinate and govern multi-agent work in a single chat,ai,fmerian,https://www.producthunt.com/products/band,2026-04-27T22:50:00Z
2026-04-13T19:54:29-07:00,Free chart generator by Embedful,Turn CSV & Excel files into charts in seconds,,fmerian,https://www.producthunt.com/products/embedful,2026-04-27T22:50:00Z
2026-04-12T08:42:24-07:00,XChat,"The standalone, encrypted messaging app from X",,Zac Zuo,https://www.producthunt.com/products/chat-by-x,2026-04-27T22:50:00Z
2026-04-10T23:21:50-07:00,boots.list,From Rekordbox collection to set-ready playlist,,Fraser Muir,https://www.producthunt.com/products/boots-list,2026-04-27T22:50:00Z
2026-04-10T15:07:48-07:00,Emotional intelligence AI for live calls,Emotional intelligence AI for live sales calls,ai,Pianpian Carolyn Xu,https://www.producthunt.com/products/emotional-intelligence-ai-for-live-calls,2026-04-27T22:50:00Z
2026-04-10T07:58:17-07:00,TraceUI,Turn any website into on-brand Ads,marketing,jvalaj,https://www.producthunt.com/products/traceui,2026-04-27T22:50:00Z
2026-04-09T23:55:36-07:00,Architecto,"Design, review, and document cloud architecture with AI",design,Architecto.dev,https://www.producthunt.com/products/architecto,2026-04-27T22:50:00Z
2026-04-08T08:47:59-07:00,Genspark for Excel,"AI assistant for Excel formulas, charts, insights.",ai,Rohan Chaubey,https://www.producthunt.com/products/genspark-for-excel,2026-04-27T22:50:00Z
2026-04-06T13:42:22-07:00,Wafaa.io,Create secure digital contracts in minutes,,Yousif Alroumi,https://www.producthunt.com/products/wafaa-io-beta,2026-04-27T22:50:00Z
2026-03-30T22:37:51-07:00,PlayJoob,turns dead task boards into a shared strategy map,saas_prod,Greg Neu,https://www.producthunt.com/products/playjoob,2026-04-27T22:50:00Z
2026-03-10T08:25:06-07:00,ZeroHuman.,Your AI Co-Founder: OpenClaw x Paperclip x Spud,"ai,devtool",Ben Lang,https://www.producthunt.com/products/zerohuman,2026-04-27T22:50:00Z
